fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0024,0.0001,0.0046,0.0002,91.19,6.4,94.61,1.37,KNeighbors,2,2,KGroups_max,Fvalue,False,0:03:08.893018,0:03:10.144422,Prostate_GE
0.0026,0.0001,0.002,0.0001,92.19000000000001,6.550000000000001,93.14,1.8599999999999999,LinearSVC,2,2,KGroups_max,Fvalue,False,0:03:08.893018,0:03:10.144422,Prostate_GE
0.1573,0.0033,0.0094,0.0006,89.33,7.870000000000001,100.0,0.0,RandomForest,2,2,KGroups_max,Fvalue,False,0:03:08.893018,0:03:10.144422,Prostate_GE
0.0211,0.0006,0.0039,0.0001,91.24,6.34,97.55,0.02,XGB,2,2,KGroups_max,Fvalue,False,0:03:08.893018,0:03:10.144422,Prostate_GE
0.1107,0.0006,0.0025,0.0001,93.14,7.3999999999999995,93.14,1.8599999999999999,MLP,2,2,KGroups_max,Fvalue,False,0:03:08.893018,0:03:10.144422,Prostate_GE
0.0023,0.0001,0.002,0.0001,93.14,7.3999999999999995,93.14,1.8599999999999999,GaussianNB,2,2,KGroups_max,Fvalue,False,0:03:08.893018,0:03:10.144422,Prostate_GE
0.0024,0.0,0.0046,0.0002,91.19,6.4,94.61,1.37,KNeighbors,3,2,KGroups_max,Fvalue,False,0:03:08.893018,0:03:10.144422,Prostate_GE
0.0024,0.0001,0.0019,0.0001,92.19000000000001,6.550000000000001,93.14,1.8599999999999999,LinearSVC,3,2,KGroups_max,Fvalue,False,0:03:08.893018,0:03:10.144422,Prostate_GE
0.159,0.0009,0.0092,0.0005,89.33,7.870000000000001,100.0,0.0,RandomForest,3,2,KGroups_max,Fvalue,False,0:03:08.893018,0:03:10.144422,Prostate_GE
0.0211,0.0008,0.0041,0.0001,91.24,6.34,97.55,0.02,XGB,3,2,KGroups_max,Fvalue,False,0:03:08.893018,0:03:10.144422,Prostate_GE
0.1107,0.0008,0.0024,0.0001,93.14,7.3999999999999995,93.14,1.8599999999999999,MLP,3,2,KGroups_max,Fvalue,False,0:03:08.893018,0:03:10.144422,Prostate_GE
0.0023,0.0001,0.002,0.0001,93.14,7.3999999999999995,93.14,1.8599999999999999,GaussianNB,3,2,KGroups_max,Fvalue,False,0:03:08.893018,0:03:10.144422,Prostate_GE
0.0025,0.0001,0.0045,0.0001,91.19,6.4,94.61,1.37,KNeighbors,4,2,KGroups_max,Fvalue,False,0:03:08.893018,0:03:10.144422,Prostate_GE
0.0026,0.0001,0.002,0.0,92.19000000000001,6.550000000000001,93.14,1.8599999999999999,LinearSVC,4,2,KGroups_max,Fvalue,False,0:03:08.893018,0:03:10.144422,Prostate_GE
0.1583,0.0016,0.0096,0.0006,89.33,7.870000000000001,100.0,0.0,RandomForest,4,2,KGroups_max,Fvalue,False,0:03:08.893018,0:03:10.144422,Prostate_GE
0.0212,0.0011,0.0039,0.0002,91.24,6.34,97.55,0.02,XGB,4,2,KGroups_max,Fvalue,False,0:03:08.893018,0:03:10.144422,Prostate_GE
0.1105,0.0005,0.0024,0.0001,93.14,7.3999999999999995,93.14,1.8599999999999999,MLP,4,2,KGroups_max,Fvalue,False,0:03:08.893018,0:03:10.144422,Prostate_GE
0.0023,0.0001,0.0021,0.0003,93.14,7.3999999999999995,93.14,1.8599999999999999,GaussianNB,4,2,KGroups_max,Fvalue,False,0:03:08.893018,0:03:10.144422,Prostate_GE
