fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0044,0.0001,54.99000000000001,9.959999999999999,69.3,2.44,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0024,0.0001,0.0018,0.0001,43.88,4.390000000000001,50.73,1.59,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.1579,0.0004,0.0098,0.0,49.7,5.34,100.0,0.0,RandomForest,2,2,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0775,0.0017,0.0039,0.0001,46.72,7.449999999999999,100.0,0.0,XGB,2,2,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.1251,0.0002,0.0024,0.0,48.55,5.87,60.81999999999999,1.52,MLP,2,2,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0022,0.0,0.0018,0.0,51.51,7.4399999999999995,55.269999999999996,2.35,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0021,0.0001,0.0044,0.0001,50.24999999999999,7.180000000000001,67.97999999999999,2.5,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0024,0.0001,0.0018,0.0001,51.449999999999996,4.63,55.26,2.52,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.1576,0.0002,0.0096,0.0006,55.55,5.72,100.0,0.0,RandomForest,3,3,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0751,0.0018,0.0041,0.0001,54.400000000000006,3.61,100.0,0.0,XGB,3,3,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.1305,0.0006,0.0024,0.0,53.21,5.13,62.13999999999999,3.2,MLP,3,3,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0022,0.0,0.0018,0.0,54.339999999999996,8.219999999999999,62.28,2.5,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0021,0.0001,0.0045,0.0001,56.10000000000001,4.5600000000000005,69.88,1.49,KNeighbors,4,4,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0025,0.0001,0.0018,0.0001,47.31,5.64,61.4,2.7199999999999998,LinearSVC,4,4,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.1634,0.0002,0.0097,0.0001,57.28,5.6000000000000005,100.0,0.0,RandomForest,4,4,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0762,0.0031,0.0042,0.0001,61.980000000000004,2.1399999999999997,100.0,0.0,XGB,4,4,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.1329,0.0004,0.0024,0.0,54.92,7.93,68.42,5.08,MLP,4,4,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0022,0.0,0.0019,0.0,54.37,9.28,66.08000000000001,1.01,GaussianNB,4,4,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0021,0.0001,0.0045,0.0001,56.169999999999995,4.22,75.44,1.23,KNeighbors,5,5,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0025,0.0,0.0019,0.0001,50.839999999999996,3.75,63.160000000000004,2.98,LinearSVC,5,5,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.1634,0.0002,0.0097,0.0,56.10000000000001,4.5600000000000005,100.0,0.0,RandomForest,5,5,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.075,0.0036,0.0044,0.0001,57.34,6.069999999999999,100.0,0.0,XGB,5,5,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.1361,0.0003,0.0025,0.0,54.92,4.9,68.86,3.25,MLP,5,5,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0022,0.0,0.0019,0.0,52.66,8.21,66.67,2.4699999999999998,GaussianNB,5,5,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0021,0.0001,0.0045,0.0001,47.9,8.49,72.8,2.0,KNeighbors,6,6,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0026,0.0001,0.0019,0.0,54.910000000000004,7.1499999999999995,65.35,4.0,LinearSVC,6,6,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.1631,0.0004,0.0097,0.0,59.660000000000004,4.63,100.0,0.0,RandomForest,6,6,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0799,0.0039,0.0045,0.0,54.96,4.58,100.0,0.0,XGB,6,6,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.1365,0.0003,0.0025,0.0001,56.10000000000001,8.27,72.95,3.01,MLP,6,6,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0022,0.0001,0.0019,0.0,52.669999999999995,9.3,67.4,3.05,GaussianNB,6,6,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0021,0.0001,0.0045,0.0001,53.76,5.17,71.64,2.92,KNeighbors,7,7,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0027,0.0,0.0018,0.0001,60.81999999999999,9.629999999999999,71.05,2.9000000000000004,LinearSVC,7,7,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.1634,0.0002,0.0098,0.0,63.74999999999999,10.489999999999998,100.0,0.0,RandomForest,7,7,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
0.0835,0.0009,0.0047,0.0001,60.3,13.55,100.0,0.0,XGB,7,7,KGroups_max++,gini_importance,False,0:04:46.993235,0:04:48.764832,TOX_171
